model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20240830_174212_model_14,0.8020666024199593,0.281109981014267,0.7515340983739242,0.1893939393939394,0.2669399444181782,0.0712569339259801
StackedEnsemble_BestOfFamily_5_AutoML_1_20240830_174212,0.801798907805975,0.2911196806138711,0.7509251426581126,0.1848431309562051,0.2714317442440587,0.073675191783372
GBM_grid_1_AutoML_1_20240830_174212_model_89,0.8016918299603811,0.2769453592659042,0.7391995389286508,0.1969696969696969,0.2681348117779811,0.0718962772872133
GBM_grid_1_AutoML_1_20240830_174212_model_48,0.8004604347360531,0.2969905317434779,0.7475215964528594,0.1969696969696969,0.2698214284523693,0.072803603252077
GBM_grid_1_AutoML_1_20240830_174212_model_75,0.7993628868187173,0.3105217821745153,0.7374234797607846,0.2045454545454545,0.2807501881462915,0.078820668144178
GBM_grid_1_AutoML_1_20240830_174212_model_54,0.7969804047542562,0.2900335782035729,0.7432315336469462,0.1911607238462362,0.2691690753085816,0.0724519911024768
GBM_grid_1_AutoML_1_20240830_174212_model_90,0.7960702430667095,0.288780773566637,0.7385204697270962,0.1969696969696969,0.2695458022527476,0.0726549395120773
GBM_grid_1_AutoML_1_20240830_174212_model_81,0.7956419316843345,0.2914258693936298,0.7410835266470963,0.1911607238462362,0.2688024388606675,0.0722547511374429
GBM_grid_1_AutoML_1_20240830_174212_model_32,0.7916800513973659,0.2916006997842381,0.7394977560098898,0.1987364814219938,0.2705744029382612,0.0732105075253965
XRT_1_AutoML_1_20240830_174212,0.7897526501766784,0.7350469056888511,0.7395664033286279,0.2045454545454545,0.2768301952823379,0.0766349570200573
GBM_grid_1_AutoML_1_20240830_174212_model_59,0.7877717100331941,0.3109586501284984,0.7343370194014818,0.1969696969696969,0.2779124070670841,0.0772353060018206
GBM_grid_1_AutoML_1_20240830_174212_model_1,0.7869686261912411,0.2974764559495203,0.7412561376637099,0.1893939393939394,0.2685494598766201,0.0721188124000244
GBM_grid_1_AutoML_1_20240830_174212_model_73,0.7856033836599208,0.2846727074252867,0.7316083835109163,0.1969696969696969,0.2698409480791285,0.0728141372602429
